Species	TF_ID	Gene_ID_v0.4	Gene_ID	symbol
Triticum_aestivum	Traes_1AS_F3E49A47C.1	Traes_1AS_F3E49A47C	TraesCS1A01G036500LC	NA
Triticum_aestivum	Traes_1AS_F3EAEC435.1	Traes_1AS_F3EAEC435	TraesCS1A01G099600LC	NA
Triticum_aestivum	Traes_1BL_04EFBAECF.2	Traes_1BL_04EFBAECF	TraesCS1B01G235700	NA
Triticum_aestivum	Traes_1BL_0DFC787A9.1	Traes_1BL_0DFC787A9	TraesCS1B01G284300	NA
Triticum_aestivum	Traes_1BL_0F9F21D68.1	Traes_1BL_0F9F21D68	TraesCS1B01G285100	NA
Triticum_aestivum	Traes_1BL_1A885E733.1	Traes_1BL_1A885E733	TraesCS1B01G323600	NA
Triticum_aestivum	Traes_1BL_1D865A8CC.1	Traes_1BL_1D865A8CC	TraesCS1B01G363200	NA
Triticum_aestivum	Traes_1BL_1E9F7A4EF.1	Traes_1BL_1E9F7A4EF	TraesCS1B01G203800	NA
Triticum_aestivum	Traes_1BL_46340D685.1	Traes_1BL_46340D685	TraesCS1B01G311000	NA
Triticum_aestivum	Traes_1BL_5C07BE2D0.1	Traes_1BL_5C07BE2D0	TraesCS1B01G472000	NA
Triticum_aestivum	Traes_1BL_67DE12110.1	Traes_1BL_67DE12110	TraesCS1B01G349200	NA
Triticum_aestivum	Traes_1BL_687A47E82.2	Traes_1BL_687A47E82	TraesCS1B01G228000	NA
Triticum_aestivum	Traes_1BL_6F280C355.1	Traes_1BL_6F280C355	TraesCS1B01G156900	NA
Triticum_aestivum	Traes_1BL_6F6239DF9.2	Traes_1BL_6F6239DF9	TraesCS1B01G442000	NA
Triticum_aestivum	Traes_1BL_73811B853.1	Traes_1BL_73811B853	TraesCS1B01G440300	NA
Triticum_aestivum	Traes_1BL_7513DC3F9.2	Traes_1BL_7513DC3F9	TraesCS1B01G322000	NA
Triticum_aestivum	Traes_1BL_794E99FF5.1	Traes_1BL_794E99FF5	TraesCS1B01G212000	NA
Triticum_aestivum	Traes_1BL_80DD53F05.2	Traes_1BL_80DD53F05	TraesCS1B01G340500	NA
Triticum_aestivum	Traes_1BL_8709BB152.2	Traes_1BL_8709BB152	TraesCS1B01G266100	NA
Triticum_aestivum	Traes_1BL_8925B27BC.1	Traes_1BL_8925B27BC	TraesCS1B01G192200	NA
Triticum_aestivum	Traes_1BL_8AC21563E.1	Traes_1BL_8AC21563E	TraesCS1B01G203800	NA
Triticum_aestivum	Traes_1BL_9018AA7BA.2	Traes_1BL_9018AA7BA	TraesCS1B01G277300	NA
Triticum_aestivum	Traes_1BL_92756E39D.1	Traes_1BL_92756E39D	TraesCS1B01G272600	NA
Triticum_aestivum	Traes_1BL_9AFA4B870.1	Traes_1BL_9AFA4B870	TraesCS1B01G728000LC	NA
Triticum_aestivum	Traes_1BL_9BF41B805.1	Traes_1BL_9BF41B805	TraesCS2D01G020500LC	NA
Triticum_aestivum	Traes_1BL_A5A91DE10.1	Traes_1BL_A5A91DE10	TraesCS1B01G203300	NA
Triticum_aestivum	Traes_1BL_A75EDBFD9.2	Traes_1BL_A75EDBFD9	TraesCS1B01G738700LC	NA
Triticum_aestivum	Traes_1BL_AF69F4610.1	Traes_1BL_AF69F4610	TraesCS1B01G226200	NA
Triticum_aestivum	Traes_1BL_B03720C3B.2	Traes_1BL_B03720C3B	TraesCS1B01G285800	NA
Triticum_aestivum	Traes_1BL_B15990028.1	Traes_1BL_B15990028	TraesCS1B01G453200	NA
Triticum_aestivum	Traes_1BL_B34F44FC1.1	Traes_1BL_B34F44FC1	TraesCS1B01G161800	NA
Triticum_aestivum	Traes_1BL_B4400C4B7.1	Traes_1BL_B4400C4B7	TraesCS1B01G592700LC	NA
Triticum_aestivum	Traes_1BL_B4AFDB663.1	Traes_1BL_B4AFDB663	TraesCS1B01G310900	NA
Triticum_aestivum	Traes_1BL_C5FEAF06E.1	Traes_1BL_C5FEAF06E	TraesCS1B01G439800	NA
Triticum_aestivum	Traes_1BL_D89A10B05.1	Traes_1BL_D89A10B05	TraesCS1B01G602500LC	NA
Triticum_aestivum	Traes_1BL_DE2CF9613.1	Traes_1BL_DE2CF9613	TraesCS1B01G317100	NA
Triticum_aestivum	Traes_1BL_DED873B03.1	Traes_1BL_DED873B03	TraesCS1B01G591100LC	NA
Triticum_aestivum	Traes_1BL_DF66FC4FE.1	Traes_1BL_DF66FC4FE	TraesCS1B01G332000	NA
Triticum_aestivum	Traes_1BS_1F372BED3.1	Traes_1BS_1F372BED3	TraesCS1B01G129200	NA
Triticum_aestivum	Traes_1BS_3761C242C.1	Traes_1BS_3761C242C	TraesCS1B01G126600	NA
Triticum_aestivum	Traes_1BS_47D29F0A5.3	Traes_1BS_47D29F0A5	TraesCS1B01G001800LC	NA
Triticum_aestivum	Traes_1BS_649624FE9.1	Traes_1BS_649624FE9	TraesCS1B01G080900LC	NA
Triticum_aestivum	Traes_1BS_7F7F9918B.1	Traes_1BS_7F7F9918B	TraesCS1B01G235900LC	NA
Triticum_aestivum	Traes_1BS_8F922CA93.1	Traes_1BS_8F922CA93	TraesCS1B01G131900	NA
Triticum_aestivum	Traes_1BS_A44C97E0F.2	Traes_1BS_A44C97E0F	TraesCS1B01G091500	NA
Triticum_aestivum	Traes_1BS_BA396392C.2	Traes_1BS_BA396392C	TraesCS1B01G045000	NA
Triticum_aestivum	Traes_1BS_CE38938A8.1	Traes_1BS_CE38938A8	TraesCS1B01G080600	NA
Triticum_aestivum	Traes_1BS_D1FCBFBE8.1	Traes_1BS_D1FCBFBE8	TraesCS1B01G100400	NA
Triticum_aestivum	Traes_1BS_E3FCA98E3.2	Traes_1BS_E3FCA98E3	TraesCS1B01G127400	NA
Triticum_aestivum	Traes_1BS_EF67E5A24.1	Traes_1BS_EF67E5A24	TraesCS1B01G143600LC	NA
Triticum_aestivum	Traes_1BS_FBCD9C4B1.1	Traes_1BS_FBCD9C4B1	TraesCS7D01G712000LC	NA
Triticum_aestivum	Traes_1DL_0D056C042.1	Traes_1DL_0D056C042	TraesCS1D01G162600	NA
Triticum_aestivum	Traes_1DL_1290B6A52.1	Traes_1DL_1290B6A52	TraesCS1D01G259900	NA
Triticum_aestivum	Traes_1DL_23D036A85.1	Traes_1DL_23D036A85	TraesCS1D01G417100	NA
Triticum_aestivum	Traes_1DL_3F6454D50.2	Traes_1DL_3F6454D50	TraesCS1D01G287500	NA
Triticum_aestivum	Traes_1DL_46428511F.1	Traes_1DL_46428511F	TraesCS1D01G429800	NA
Triticum_aestivum	Traes_1DL_56A46D571.1	Traes_1DL_56A46D571	TraesCS1D01G274700	NA
Triticum_aestivum	Traes_1DL_58BEEDC49.1	Traes_1DL_58BEEDC49	TraesCS1D01G490100LC	NA
Triticum_aestivum	Traes_1DL_5BAB0B6BC.1	Traes_1DL_5BAB0B6BC	TraesCS1D01G351600	NA
Triticum_aestivum	Traes_1DL_772D1D7DF.1	Traes_1DL_772D1D7DF	TraesCS1D01G162400	NA
Triticum_aestivum	Traes_1DL_7AB06DF09.1	Traes_1DL_7AB06DF09	TraesCS1D01G451800LC	NA
Triticum_aestivum	Traes_1DL_7DDE52966.1	Traes_1DL_7DDE52966	TraesCS1D01G437400	NA
Triticum_aestivum	Traes_1DL_7FAB00DBB.2	Traes_1DL_7FAB00DBB	TraesCS1D01G139300	NA
Triticum_aestivum	Traes_1DL_83218C6CE.1	Traes_1DL_83218C6CE	TraesCS1D01G445200	NA
Triticum_aestivum	Traes_1DL_93BCED372.2	Traes_1DL_93BCED372	TraesCS1D01G254700	NA
Triticum_aestivum	Traes_1DL_985BECD17.1	Traes_1DL_985BECD17	TraesCS1D01G329200	NA
Triticum_aestivum	Traes_1DL_986875DD3.1	Traes_1DL_986875DD3	TraesCS1D01G419500	NA
Triticum_aestivum	Traes_1DL_9EFDBD741.1	Traes_1DL_9EFDBD741	TraesCS1D01G162400	NA
Triticum_aestivum	Traes_1DL_A2C6C77E8.1	Traes_1DL_A2C6C77E8	TraesCS1D01G280600	NA
Triticum_aestivum	Traes_1DL_A556D8590.1	Traes_1DL_A556D8590	TraesCS1D01G194200	NA
Triticum_aestivum	Traes_1DL_AEBCCB52B.1	Traes_1DL_AEBCCB52B	TraesCS1D01G338300	NA
Triticum_aestivum	Traes_1DL_AFDF3B024.1	Traes_1DL_AFDF3B024	TraesCS1D01G276100	NA
Triticum_aestivum	Traes_1DL_B503A6C26.1	Traes_1DL_B503A6C26	TraesCS1D01G310200	NA
Triticum_aestivum	Traes_1DL_BE3693D27.2	Traes_1DL_BE3693D27	TraesCS1D01G397300LC	NA
Triticum_aestivum	Traes_1DL_C0569EACC.1	Traes_1DL_C0569EACC	TraesCS1D01G404300LC	NA
Triticum_aestivum	Traes_1DL_C5AF9D06A.1	Traes_1DL_C5AF9D06A	TraesCS1D01G162600	NA
Triticum_aestivum	Traes_1DL_CE56482B5.1	Traes_1DL_CE56482B5	TraesCS1D01G451300LC	NA
Triticum_aestivum	Traes_1DL_D1EC7DEA6.1	Traes_1DL_D1EC7DEA6	TraesCS1D01G429900	NA
Triticum_aestivum	Traes_1DL_D550418641.2	Traes_1DL_D550418641	TraesCS1D01G363300	NA
Triticum_aestivum	Traes_1DL_D79FDE483.1	Traes_1DL_D79FDE483	TraesCS1D01G261800	NA
Triticum_aestivum	Traes_1DL_D9BA83221.2	Traes_1DL_D9BA83221	TraesCS1D01G306000	NA
Triticum_aestivum	Traes_1DL_DA67871B9.1	Traes_1DL_DA67871B9	TraesCS1D01G273100	NA
Triticum_aestivum	Traes_1DL_DD0FCDF93.1	Traes_1DL_DD0FCDF93	TraesCS1D01G440300LC	NA
Triticum_aestivum	Traes_1DL_DFE1721E0.1	Traes_1DL_DFE1721E0	TraesCS1D01G300900	NA
Triticum_aestivum	Traes_1DL_F410CF9FD.3	Traes_1DL_F410CF9FD	TraesCS1D01G266500	NA
Triticum_aestivum	Traes_1DL_F9E8D5568.1	Traes_1DL_F9E8D5568	TraesCS1D01G452500LC	NA
Triticum_aestivum	Traes_1DS_0CFC1995D.2	Traes_1DS_0CFC1995D	TraesCS1D01G105300	NA
Triticum_aestivum	Traes_1DS_34596D06E.1	Traes_1DS_34596D06E	TraesCS1D01G072600	NA
Triticum_aestivum	Traes_1DS_4A2001BAC.1	Traes_1DS_4A2001BAC	TraesCS1D01G004800	NA
Triticum_aestivum	Traes_1DS_55E91A134.2	Traes_1DS_55E91A134	TraesCS1D01G084200	NA
Triticum_aestivum	Traes_1DS_5998ADCA3.1	Traes_1DS_5998ADCA3	TraesCS1D01G030700	NA
Triticum_aestivum	Traes_1DS_62FDD3493.1	Traes_1DS_62FDD3493	TraesCS1D01G075500	NA
Triticum_aestivum	Traes_1DS_A31FB6CB2.1	Traes_1DS_A31FB6CB2	TraesCS2D01G008400	NA
Triticum_aestivum	Traes_1DS_A6733B734.1	Traes_1DS_A6733B734	TraesCS1D01G072900	NA
Triticum_aestivum	Traes_1DS_BB8508CC6.1	Traes_1DS_BB8508CC6	TraesCS1D01G113100	NA
Triticum_aestivum	Traes_1DS_C1D7139D7.1	Traes_1DS_C1D7139D7	-	NA
Triticum_aestivum	Traes_1DS_CCB0E5EE7.1	Traes_1DS_CCB0E5EE7	TraesCS1D01G106100	NA
Triticum_aestivum	Traes_1DS_CD79239C8.1	Traes_1DS_CD79239C8	TraesCS1D01G112000	NA
Triticum_aestivum	Traes_1DS_E5423261A.1	Traes_1DS_E5423261A	TraesCS1D01G152400LC	NA
Triticum_aestivum	Traes_1DS_FE10585EC.2	Traes_1DS_FE10585EC	TraesCS1D01G036700	NA
Triticum_aestivum	Traes_2AL_01E6C08C0.2	Traes_2AL_01E6C08C0	TraesCS2A01G391700	NA
Triticum_aestivum	Traes_2AL_054360BDD.1	Traes_2AL_054360BDD	TraesCS2A01G502300	NA
Triticum_aestivum	Traes_2AL_05ADB552E.2	Traes_2AL_05ADB552E	TraesCS2A01G476500LC	NA
Triticum_aestivum	Traes_2AL_088338613.1	Traes_2AL_088338613	TraesCS2A01G281200	NA
Triticum_aestivum	Traes_2AL_0EB34993E.1	Traes_2AL_0EB34993E	TraesCS2A01G388300	NA
Triticum_aestivum	Traes_2AL_0F613C5AB.1	Traes_2AL_0F613C5AB	TraesCS2A01G503400LC	NA
Triticum_aestivum	Traes_2AL_14B1B159F.2	Traes_2AL_14B1B159F	TraesCS2A01G245700	NA
Triticum_aestivum	Traes_2AL_15A7BB684.1	Traes_2AL_15A7BB684	TraesCS2A01G433000	NA
Triticum_aestivum	Traes_2AL_163D42961.1	Traes_2AL_163D42961	TraesCS2A01G419400	NA
Triticum_aestivum	Traes_2AL_189D6889B.1	Traes_2AL_189D6889B	TraesCS2A01G402200	NA
Triticum_aestivum	Traes_2AL_1B22EA0AD.2	Traes_2AL_1B22EA0AD	TraesCS2A01G304000	NA
Triticum_aestivum	Traes_2AL_1B43EA59E.1	Traes_2AL_1B43EA59E	TraesCS2A01G261900	NA
Triticum_aestivum	Traes_2AL_232DE3B52.1	Traes_2AL_232DE3B52	TraesCS2A01G576100LC	NA
Triticum_aestivum	Traes_2AL_246006E77.1	Traes_2AL_246006E77	TraesCS2A01G291700	NA
Triticum_aestivum	Traes_2AL_39432DCB1.2	Traes_2AL_39432DCB1	TraesCS2A01G561800LC	NA
Triticum_aestivum	Traes_2AL_3D7807781.1	Traes_2AL_3D7807781	TraesCS2A01G467100	NA
Triticum_aestivum	Traes_2AL_409AB7647.1	Traes_2AL_409AB7647	TraesCS2A01G330500	NA
Triticum_aestivum	Traes_2AL_411B944D6.1	Traes_2AL_411B944D6	TraesCS2A01G271700	NA
Triticum_aestivum	Traes_2AL_434E9F101.1	Traes_2AL_434E9F101	TraesCS2A01G270200	NA
Triticum_aestivum	Traes_2AL_450404EA6.1	Traes_2AL_450404EA6	TraesCS2A01G271300	NA
Triticum_aestivum	Traes_2AL_4F71A8FB4.1	Traes_2AL_4F71A8FB4	TraesCS2A01G409600	NA
Triticum_aestivum	Traes_2AL_57BF37A86.1	Traes_2AL_57BF37A86	TraesCS2A01G338300	NA
Triticum_aestivum	Traes_2AL_5ACD4B2ED.2	Traes_2AL_5ACD4B2ED	TraesCS2A01G326500	NA
Triticum_aestivum	Traes_2AL_61C5A2D03.1	Traes_2AL_61C5A2D03	TraesCS2A01G565900	NA
Triticum_aestivum	Traes_2AL_65586C538.2	Traes_2AL_65586C538	TraesCS2A01G292700	NA
Triticum_aestivum	Traes_2AL_67BC3AFBE.1	Traes_2AL_67BC3AFBE	TraesCS2A01G461700	NA
Triticum_aestivum	Traes_2AL_6E76DBE34.1	Traes_2AL_6E76DBE34	TraesCS2A01G538500	NA
Triticum_aestivum	Traes_2AL_6FC5F1FD0.1	Traes_2AL_6FC5F1FD0	TraesCS2A01G442700	NA
Triticum_aestivum	Traes_2AL_70AE1B8B8.1	Traes_2AL_70AE1B8B8	TraesCS2A01G484700	NA
Triticum_aestivum	Traes_2AL_71DE02042.1	Traes_2AL_71DE02042	TraesCS2A01G386200	NA
Triticum_aestivum	Traes_2AL_723E42163.2	Traes_2AL_723E42163	TraesCS2A01G245700	NA
Triticum_aestivum	Traes_2AL_73E4240F0.2	Traes_2AL_73E4240F0	TraesCS2A01G320100	NA
Triticum_aestivum	Traes_2AL_773EA7A5A.2	Traes_2AL_773EA7A5A	TraesCS2A01G283800	NA
Triticum_aestivum	Traes_2AL_7A37B5232.1	Traes_2AL_7A37B5232	TraesCS2A01G472300	NA
Triticum_aestivum	Traes_2AL_7FEF10153.1	Traes_2AL_7FEF10153	TraesCS2A01G521500	NA
Triticum_aestivum	Traes_2AL_82C3E7E14.1	Traes_2AL_82C3E7E14	TraesCS2A01G386300	NA
Triticum_aestivum	Traes_2AL_83D0D0C3F.1	Traes_2AL_83D0D0C3F	TraesCS2A01G443100	NA
Triticum_aestivum	Traes_2AL_892B4448E.2	Traes_2AL_892B4448E	TraesCS2A01G253900	NA
Triticum_aestivum	Traes_2AL_8A23618BA.1	Traes_2AL_8A23618BA	TraesCS2A01G306800	NA
Triticum_aestivum	Traes_2AL_8E714CD46.1	Traes_2AL_8E714CD46	TraesCS2A01G275600	NA
Triticum_aestivum	Traes_2AL_8EC530273.1	Traes_2AL_8EC530273	TraesCS2A01G297400	NA
Triticum_aestivum	Traes_2AL_8EE7F34F6.2	Traes_2AL_8EE7F34F6	TraesCS2A01G566100	NA
Triticum_aestivum	Traes_2AL_9A4A7514E.1	Traes_2AL_9A4A7514E	TraesCS2A01G310000	NA
Triticum_aestivum	Traes_2AL_9E68ABA72.1	Traes_2AL_9E68ABA72	TraesCS2A01G389200	NA
Triticum_aestivum	Traes_2AL_A7EA252CA.1	Traes_2AL_A7EA252CA	TraesCS2A01G382400	NA
Triticum_aestivum	Traes_2AL_AB04643C9.1	Traes_2AL_AB04643C9	TraesCS2A01G326600	NA
Triticum_aestivum	Traes_2AL_ABBE06B44.1	Traes_2AL_ABBE06B44	TraesCS2A01G346800	NA
Triticum_aestivum	Traes_2AL_ACBAA6A31.1	Traes_2AL_ACBAA6A31	TraesCS2A01G515300	NA
Triticum_aestivum	Traes_2AL_AE22E725E.3	Traes_2AL_AE22E725E	TraesCS2A01G359400	NA
Triticum_aestivum	Traes_2AL_B05A4E316.1	Traes_2AL_B05A4E316	TraesCS2A01G376000	NA
Triticum_aestivum	Traes_2AL_B1270662B.1	Traes_2AL_B1270662B	TraesCS2A01G392100	NA
Triticum_aestivum	Traes_2AL_B45245746.2	Traes_2AL_B45245746	TraesCS2A01G413900	NA
Triticum_aestivum	Traes_2AL_BC4CD296F.1	Traes_2AL_BC4CD296F	TraesCS2A01G404400	NA
Triticum_aestivum	Traes_2AL_BD0C7A9A5.2	Traes_2AL_BD0C7A9A5	TraesCS2A01G526300	NA
Triticum_aestivum	Traes_2AL_C0670BBDD.2	Traes_2AL_C0670BBDD	TraesCS2A01G566300	NA
Triticum_aestivum	Traes_2AL_C3E7F1648.1	Traes_2AL_C3E7F1648	TraesCS2A01G561300	NA
Triticum_aestivum	Traes_2AL_C76F4E089.2	Traes_2AL_C76F4E089	TraesCS2A01G342500	NA
Triticum_aestivum	Traes_2AL_CA89051FD.1	Traes_2AL_CA89051FD	TraesCS2A01G462500	NA
Triticum_aestivum	Traes_2AL_CB84F42D2.2	Traes_2AL_CB84F42D2	TraesCS2A01G566200	NA
Triticum_aestivum	Traes_2AL_CDA1C09AB.1	Traes_2AL_CDA1C09AB	TraesCS2A01G382400	NA
Triticum_aestivum	Traes_2AL_D3B2C21A7.1	Traes_2AL_D3B2C21A7	TraesCS2A01G401600	NA
Triticum_aestivum	Traes_2AL_D6F52AD28.2	Traes_2AL_D6F52AD28	TraesCS2A01G591100	NA
Triticum_aestivum	Traes_2AL_DB6FB44F8.1	Traes_2AL_DB6FB44F8	TraesCSU01G137200	NA
Triticum_aestivum	Traes_2AL_E93926EE7.1	Traes_2AL_E93926EE7	TraesCS2A01G590700	NA
Triticum_aestivum	Traes_2AL_EA60A06AC.1	Traes_2AL_EA60A06AC	TraesCS2A01G251100	NA
Triticum_aestivum	Traes_2AL_F001B4F26.1	Traes_2AL_F001B4F26	TraesCS2A01G566000	NA
Triticum_aestivum	Traes_2AL_F0B17F0EA.1	Traes_2AL_F0B17F0EA	TraesCS2A01G311500	NA
Triticum_aestivum	Traes_2AL_FA1957F59.1	Traes_2AL_FA1957F59	TraesCS2A01G352100	NA
Triticum_aestivum	Traes_2AL_FAB4B4A20.2	Traes_2AL_FAB4B4A20	TraesCS2A01G442500	NA
Triticum_aestivum	Traes_2AL_FDF9CFC56.1	Traes_2AL_FDF9CFC56	TraesCS2A01G561700	NA
Triticum_aestivum	Traes_2AS_0186B9E4F.2	Traes_2AS_0186B9E4F	TraesCS2A01G182700	NA
Triticum_aestivum	Traes_2AS_09457EDD8.2	Traes_2AS_09457EDD8	TraesCS2A01G201800	NA
Triticum_aestivum	Traes_2AS_12294E9D5.1	Traes_2AS_12294E9D5	TraesCS2A01G132000LC	NA
Triticum_aestivum	Traes_2AS_125195CDF.1	Traes_2AS_125195CDF	TraesCS2A01G101900	NA
Triticum_aestivum	Traes_2AS_1683BEFD0.1	Traes_2AS_1683BEFD0	TraesCS2A01G236900	NA
Triticum_aestivum	Traes_2AS_16D1CC46E.1	Traes_2AS_16D1CC46E	TraesCS2A01G040300LC	NA
Triticum_aestivum	Traes_2AS_1A307CE26.1	Traes_2AS_1A307CE26	TraesCS2A01G018000	NA
